title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
This Home Including 2 Bedroom Is Now Available For Rent In South Monipur Road,2,2,"1,700 sqft","South Monipur, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1479987-240x180.webp,https://www.bproperty.com/en/property/details-5446215.html,"January 9, 2023",14 Thousand
Get Comfortable In A 1932 Sq Ft Flat For rent In South Khulshi Nearby Radiant School And College,3,4,"1,200 sqft","South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1344948-400x300.webp,https://www.bproperty.com/en/property/details-1850302.html,"January 8, 2023",30 Thousand
"2950 Sq Ft Semi Furnished Flat Is Available For Rent In Basundhara Road, Bashundhara R-a",4,4,,"Block B, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1480495-240x180.webp,https://www.bproperty.com/en/property/details-3278322.html,"January 23, 2022",80 Thousand
Visit This Apartment For Rent Of 1495 Sq Ft In Mohammadpur Near Pc Culture Housing Society Jam-e-masjid,3,3,,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1881125.html,"January 23, 2023",23 Thousand
"At Gulshan, 2800 Sq Ft Beautiful Flat For Rent Close To City Bank",3,3,,"Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1931547.html,"July 17, 2022",80 Thousand
"An Apartment Is Ready For Rent At Mohammadpur , Near Prominent Housing Baitul Abrar Jam-e-Masjid.",2,2,,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1933037.html,"March 6, 2020",15 Thousand
Check This Nice Flat For Rent At Uttara Nearby Milestone School & College,3,4,,"Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1956498.html,"January 23, 2023",45 Thousand
Grab This Lovely 2500 Sq. Ft Duplex Flat For Rent In Bashundhara R-A Before It's Rented Out,4,4,,"Block H, Bashundhara R-A, Dhaka",Duplex,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-2026992.html,"April 6, 2022",45 Thousand
Amazing Flat Including 3 Bedrooms Are Up For Rent In Khilgaon Block C.,3,3,,"Khilgaon, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-4215102.html,"July 5, 2022",35 Thousand
View This 1700 Square Feet Apartment For Rent In Banasree,4,3,"1,800 sqft","Block E, Banasree, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1544893-400x300.webp,https://www.bproperty.com/en/property/details-4607410.html,"March 16, 2022",35 Thousand
Well Defined And Nice Flat Of 1200 Sq Ft Is Up For Rent In Adabor Close To Baitul Aman Housing Society Jame Mosque,3,3,,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-3807226.html,"July 19, 2022",18 Thousand
This Modest 800 Sq. Ft Flat At South Monipur Which Is Up For Rent.,2,2,,"South Monipur, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1477981-240x180.webp,https://www.bproperty.com/en/property/details-5445058.html,"January 11, 2023",14 Thousand
"Reside At Comfort, In This 800 Sq Ft Flat For Rent In South Monipur Road",2,2,,"South Monipur, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1479616-240x180.webp,https://www.bproperty.com/en/property/details-5445051.html,"January 11, 2023",14 Thousand
Comfortable And Well-designed Apartment Of 800 Sq Ft In South Monipur For Rent,2,2,,"South Monipur, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1479842-240x180.webp,https://www.bproperty.com/en/property/details-5446212.html,"January 11, 2023",14 Thousand
A very reasonable 650 SQ FT residential flat is up for rent located at Talertek,2,2,,"Talertek, Khilkhet, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-5365280.html,"January 17, 2023",11 Thousand
Have A Look At This 3500 Sq Ft Residential Flat Ready For Rent Situated At Gulshan 2 Area Nearby Shikder Medical College & Hospital.,4,4,,"Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1683951.html,"July 5, 2022",2 Lakh
Check This Nice 3 Bedrooms Flat For Rent At Madhya Ajampur Nearby Nur Masjid,3,3,,"Madhya Ajampur, Dakshin Khan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-1830831.html,"July 15, 2022",18 Thousand
